Nosaukums,Reģistrācijas numurs,Juridiskais status,Vadītājs,Filiāļu skaits,Strukturvienību skaits,Veids,Tips,Faktiskais dibinātājs,Deklarētais dibinātājs,Adrese,Tālrunis,E-pasts,Novads/Pilsēta,Likvidēta,visc_kods,pasvaldiba,urban,valoda,lat,lng
"""ANGELIKA'S YERMAK EUROPEAN A.C.A.D.Y. OF NAIL ART"" mācību centrs",3360800626,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""ENINE""","Sabiedrība ar ierobežotu atbildību ""ENINE""","OJĀRA VĀCIEŠA IELA 28 - 1, RĪGA, LV-1004",67385509,enine.nail@mail.ru,Rīga,N,,,,,56.9235551,24.0751079
"""Anšpēteru"" veselīgas ēdināšanas un servisa arodizglītības skola",3330801469,Juridiskā vai fiziskā persona,,0,0,Profesionālās pamata un vidējās izglītības iestāde,Arodizglītības iestāde,"Zemnieku saimniecība ""Anšpēteri""","Zemnieku saimniecība ""Anšpēteri""","DZIRNAVU IELA 57, RĪGA, LV-1010",67612030,,Rīga,J,,,,,56.9559065,24.1185707
"""Artura Šulca Centrs""",3360800636,Biedrība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Arturs Šulcs, Ligita Margeviča","Arturs Šulcs, Ligita Margeviča","MELĪDAS IELA 6/1 - 3, RĪGA, LV-1015",26623152,,Rīga,N,,,,,0,Didn't find exactly one placemark! (Found 2)
"""ASAMBLEJA MKA"" Mācību un konsultāciju centrs",3360800510,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"SIA ""ASAMBLEJA MKA""","SIA ""ASAMBLEJA MKA""","BRĪVĪBAS IELA 84 - 7, RĪGA, LV-1001",7312200,,Rīga,J,,,,,56.9591503,24.1277494
"""AVA Mācību Centrs""",3360800676,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"SIA ""AVA MEDIA""","SIA ""AVA MEDIA""","STABU IELA 49 - 2, RĪGA, LV-1011",67299980,,Rīga,N,,,,,56.9548697,24.1319602
"""Baltijas Aviācijas skola""",4360801001,Komercsabiedrība,JEVGEŅIJS OBORINS,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"SIA ""ANS""","SIA ""ANS""","Lidosta ""Rīga"", LIDOSTA ""RĪGA"", MĀRUPES NOVADS, LV-1053",67207891,antc@antc.lv,Mārupes novads,N,,,,,56.9229939,23.9892939
"""Bērnu attīstības centrs SADKO""",3351802733,Komercsabiedrība,,0,0,Bērnu un jauniešu interešu izglītības iestāde,Bērnu un jauniešu interešu izglītības iestāde,"SIA ""Bērnu attīstības centrs ""SADKO""""","SIA ""Bērnu attīstības centrs ""SADKO""""","TOMSONA IELA 9 - 9, RĪGA, LV-1010",26566661,simona-rjabina@inbox.lv,Rīga,N,,,,,56.9643192,24.1243627
"""BO SIA """"EVILĒNA"""" Mācību centrs""",3360800218,Juridiskā vai fiziskā persona,,0,0,Pieaugušo neformālās izglītības iestāde,Pieaugušo izglītības iestāde,"""BO SIA """"EVILĒNA""""""","""BO SIA """"EVILĒNA""""""","Purvciema 38, RĪGA, LV-1035",9406275,,Rīga,J,,,,,56.9536125,24.1817228
"""BO SIA """"Internationaler Bund """"Valodu un sociālās pedagoģijas institūts""""""""""",3360800195,Juridiskā vai fiziskā persona,,0,0,Pieaugušo neformālās izglītības iestāde,Pieaugušo izglītības iestāde,,,"Peitavas 41194, RĪGA, LV-1050",,,Rīga,J,,,,,56.9459542,24.1104517
"""BO SIA """"Latvijas Universitātes Medicīniskās pēcdiploma izglītības institūts""""""",3360800166,Juridiskā vai fiziskā persona,,0,0,Pieaugušo neformālās izglītības iestāde,Pieaugušo izglītības iestāde,"""Latvijas Universitāte; Latvijas ārstu biedrība; Rīgas 1.slimnīca; A/S Latvijas Jūras medicīnas centrs""","""Latvijas Universitāte; Latvijas ārstu biedrība; Rīgas 1.slimnīca; A/S Latvijas Jūras medicīnas centrs""","Skolas 1a, RĪGA, LV-1010",7240368,lpaskci@latnet.lv,Rīga,J,,,,,56.9560572,24.1154163
"""BO SIA """"Neatliekamās medicīniskās palīdzības centrs""""""",0560800161,Juridiskā vai fiziskā persona,,0,0,Pieaugušo neformālās izglītības iestāde,Pieaugušo izglītības iestāde,"V.Bērzkalne, M.Krieviņš, M.Kumsārs","V.Bērzkalne, M.Krieviņš, M.Kumsārs","MAZĀ LENČU IELA 1, CĒSIS, CĒSU NOVADS, LV-4101",7320241,,Cēsu novads,J,,,,,57.3208899,25.2596306
"""BO SIA """"Nekustamā īpašuma mācību atbalsta centrs""""""",3360800098,Juridiskā vai fiziskā persona,,0,0,Pieaugušo neformālās izglītības iestāde,Pieaugušo izglītības iestāde,,,"RĪGA, LV-",,,Rīga,J,,,,,56.9496487,24.1051864
"""BO SIA """"Ogres arodģimnāzija""""""",1731101460,Valsts,,0,0,Profesionālās izglītības iestāde,Profesionālās vidējās izglītības iestāde,"Latvijas Republika Zemkopības ministrijas personā, Ogres pilsētas dome","Latvijas Republika Zemkopības ministrijas personā, Ogres pilsētas dome","UPES PROSPEKTS 16, OGRE, OGRES NOVADS, LV-5000",5024479,ag1@ogre.apollo.lv,Ogres novads,J,,,,,56.8188848,24.5984545
"""BO valsts SIA """"Barkavas arodvidusskola""""""",1631100718,Valsts,,0,0,Profesionālās izglītības iestāde,Profesionālās vidējās izglītības iestāde,LR Ministru kabinets,LR Ministru kabinets,"DZIRNAVU IELA 1, BARKAVA, BARKAVAS PAGASTS, MADONAS NOVADS, LV-4834",4836501,,Madonas novads,J,,,,,56.7270449,26.6116029
"""BO VSIA """"Koledža RRC""""""",2934202227,Valsts,,0,0,Profesionālās izglītības iestāde,Koledža,Labklājības ministrija,Labklājības ministrija,"Slokas 68, JŪRMALA, LV-2015","""7769890; 7811704""",rrc@parks.lv,Jūrmala,J,,,,,56.9550337,23.7702112
"""BOVAS """"P.Stradiņa klīniskā universitātes slimnīca""""""",3360200148,Valsts,,0,0,Pieaugušo neformālās izglītības iestāde,Pieaugušo izglītības iestāde,Labklājības ministrija,Labklājības ministrija,"Pilsoņu 13, RĪGA, LV-1002",7069601,stradini@apollo.lv,Rīga,J,,,,,56.9328855,24.068306
"""BOVSIA """"Ērgļu arodvidusskola""""""",1631100811,Valsts,,0,0,Profesionālās izglītības iestāde,Profesionālās vidējās izglītības iestāde,LR Ministru kabinets,LR Ministru kabinets,"OŠKALNA IELA 10, ĒRGĻI, ĒRGĻU PAGASTS, ĒRGĻU NOVADS, LV-4840",4871235,eav@madona.lv,Ērgļu novads,J,,,,,56.9039083,25.6450375
"""Dagdas pilsētas pirmsskolas izglītības iestāde """"Mazulītis""""""",1101900586,Pašvaldība,,0,0,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Dagdas pilsētas Dome,Dagdas pilsētas Dome,"LĀČPLĒŠA IELA 2, DAGDA, DAGDAS NOVADS, LV-5674",5653274,,Dagdas novads,J,,,,,56.0941829,27.5407196
"""Daugavpils pilsētas privātā pirmsskolas izglītības iestāde""""Bebītis""""""",2701801883,Juridiskā vai fiziskā persona,,0,0,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Žanna Ostapko,Žanna Ostapko,"18.Novembra 319v-39, DAUGAVPILS, LV-5413",5437497,,Daugavpils,J,,,,,55.8934262,26.5980713
"""DROISKA UN SILIŅA"" MĀCĪBU CENTRS",3360800770,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""Droiska un Siliņa""","Sabiedrība ar ierobežotu atbildību ""Droiska un Siliņa""","RAUNAS IELA 26 - 7, RĪGA, LV-1039",67377370,info@droiskaunsilina.lv,Rīga,N,,,,,0,Didn't find exactly one placemark! (Found 2)
"""Eksperimentālā kristīgā pamatskola """"Staburadze""""""",2012802366,Juridiskā vai fiziskā persona,,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""SIA """"Rūķītis""""""","""SIA """"Rūķītis""""""","SALAS PAGASTS, SALAS NOVADS, LV-2105","""7934172; 9804435""",brinums@latnet.lv,Salas novads,J,,,,,0,Didn't find exactly one placemark! (Found 4)
"""Engures pagasta pirmsskolas izglītības iestāde """"Spārīte""""""",2301900401,Pašvaldība,,0,0,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"""Engures ciema zvejnieku kolhozs """"Padomju zvejnieks""""""","""Engures ciema zvejnieku kolhozs """"Padomju zvejnieks""""""","SKOLAS IELA 10, ENGURE, ENGURES PAGASTS, ENGURES NOVADS, LV-3113",3161637,,Engures novads,J,,,,,57.1634013,23.220064
"""Firma ED"" SIA",4560800828,Komercsabiedrība,IRĒNA KALNIŅA,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Irēna Kalniņa,Irēna Kalniņa,"KALNA IELA 7, BAUSKA, BAUSKAS NOVADS, LV-3901",63963131,firmaed@inbox.lv,Bauskas novads,N,,,,,56.4080526,24.1874117
"""Fitnesa instruktoru Profesionālās izglītības Mācību centrs""",3360800865,Komercsabiedrības struktūrvienība,ZANDA PĻAVIŅA,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"SIA ""STEPIN""","SIA ""STEPIN""","STABU IELA 14, RĪGA, LV-1011",67289567,astep@inbox.lv,Rīga,N,,,,,56.9577876,24.1249657
"""Fitnesa Mācību Centrs""",2760801002,Komercsabiedrības struktūrvienība,ANITA GERIŅA,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"SIA ""SPORT""","SIA ""SPORT""","KRIMULDAS IELA 52, DAUGAVPILS, LV-5417",27524401,,Daugavpils,N,,,,,55.9157227,26.5781642
"""Gan bei restorānu servisa mācību centrs""",3360800662,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""Lage Ko""","Sabiedrība ar ierobežotu atbildību ""Lage Ko""","PĒRNAVAS IELA 86, RĪGA, LV-1009",26439494,,Rīga,N,,,,,56.9491131,24.153886
"""HOTEL SCHOOL"" Viesnīcu biznesa koledža",3347802926,Komercsabiedrība,IRINA ZIMŅIKOVA,0,0,Augstākās izglītības iestāde,Koledža,"Jūlija Pasnaka, Larisa Bernāne","Jūlija Pasnaka, Larisa Bernāne","SMILŠU IELA 3, RĪGA, LV-1050",67213037,info@hotelschool.lv,Rīga,N,,,,,56.9505808,24.1078115
"""IK """"Mācību konsultatīvais centrs VEIKSME""""""",3360800182,Juridiskā vai fiziskā persona,,0,0,Pieaugušo neformālās izglītības iestāde,Pieaugušo izglītības iestāde,Irina Haritončenko,Irina Haritončenko,"Krimuldas 2, RĪGA, LV-1039","""7526376; 6397275""",veiksme_mk@hotmail.com,Rīga,J,,,,,56.9712452,24.1566913
"""Integrētais apmācības centrs """"Doma""""""",2513800384,Juridiskā vai fiziskā persona,,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Guna Hofmane,Guna Hofmane,"SKOLAS IELA 11, MATĪŠI, MATĪŠU PAGASTS, BURTNIEKU NOVADS, LV-4210",4254547,,Burtnieku novads,J,,,,,57.695934,25.1580218
"""IU """"Bungas intelektuālās attīstības centrs""""""",3360800189,Juridiskā vai fiziskā persona,,0,0,Pieaugušo neformālās izglītības iestāde,Pieaugušo izglītības iestāde,Diāna Bunga,Diāna Bunga,"Krišjāņa Barona 122-20, RĪGA, LV-1012",7845145,diana_a@tvnet.lv,Rīga,J,,,,,56.9632092,24.1456227
"""Jauno psiholoģiju centrs""",3360800397,Biedrības struktūrvienība,LAURA GRĪNBERGA,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Biedrība ""Anima""","Biedrība ""Anima""","ATLANTIJAS IELA 79, RĪGA, LV-1015",29481150,,Rīga,N,,,,,57.0468054,24.0936188
"""Jelgavas I.Tomašūnas individuālais uzņēmums """"Psiholoģijas centrs""""""",2803802234,Juridiskā vai fiziskā persona,,0,0,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības konsultatīvais centrs,Ilze Tomašūna,Ilze Tomašūna,"Ūdensvada 2, JELGAVA, LV-3002","""3026815; 3080939""",,Jelgava,J,,,,,56.6535188,23.7587387
"""Jelgavas pilsētas pirmsskolas izglītības iestāde """"Dzintariņš""""""",2801900527,Pašvaldība,,0,0,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Jelgavas pilsētas Tautas deputātu padomes izpildu komiteja,Jelgavas pilsētas Tautas deputātu padomes izpildu komiteja,"Ganību 66, JELGAVA, LV-3007",3045007,,Jelgava,J,,,,,56.6579631,23.6963099
"""Jelgavas pilsētas pirmsskolas izglītības iestāde """"Varavīksne""""""",2801900528,Pašvaldība,,0,0,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Valsts akciju sabiedrība RAF,Valsts akciju sabiedrība RAF,"Pērnavas 24, JELGAVA, LV-3004",3011738,,Jelgava,J,,,,,56.6688655,23.7477413
"""Jūrmalas pilsētas pamatskola """"Zvaniņš""""""",2912901381,Pašvaldība,,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Jūrmalas pilsētas Dome,Jūrmalas pilsētas Dome,"Talsu Šoseja 31 korp.2, JŪRMALA, LV-2016",7736011,,Jūrmala,J,,,,,56.9607424,23.5948911
"""Kalsnavas pagasta pirmsskolas izglītības iestāde """"Dzirkstīte""""""",1601901767,Pašvaldība,,0,0,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Kalsnavas pagasta Padome,Kalsnavas pagasta Padome,"KALSNAVAS PAGASTS, MADONAS NOVADS, LV-4860","4,84249E+13",ZAET@energo.lv,Madonas novads,J,,,,,56.728918,25.9012406
"""Kastuļinas pagasta pirmsskolas izglītības iestāde """"Priedīte""""""",1101900588,Pašvaldība,,0,0,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Kastuļinas pagasta Padome,Kastuļinas pagasta Padome,"KASTUĻINAS PAGASTS, AGLONAS NOVADS, LV-5685",5657225,,Aglonas novads,J,,,,,56.152619,27.1987369
"""Koledža """"BUTS""""""",3334801358,Juridiskā vai fiziskā persona,,0,0,Profesionālās izglītības iestāde,Koledža,"""SIA """"BUTS""""""","""SIA """"BUTS""""""","Lāčplēša 125, RĪGA, LV-1003",7141062,buts@buts.lv,Rīga,J,,,,,56.9437924,24.1324963
"""Komplekss Citadele"" SIA Profesionālo Studiju Skola ""Citadele""",3060800104,Komercsabiedrības struktūrvienība,JOLANTA ZĀLMANSONE,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"""Komplekss Citadele"" SIA","""Komplekss Citadele"" SIA","GRAUDU IELA 40 - 1, LIEPĀJA, LV-3401","63428855, 29138211",skola@komplekss-citadele.lv,Liepāja,N,,,,,56.5096489,21.0068732
"""Komunikāciju izglītības aģentūra ""Puzzle""""",4360800631,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""KOMUNIKĀCIJU AĢENTŪRA ""PUZZLE""""","Sabiedrība ar ierobežotu atbildību ""KOMUNIKĀCIJU AĢENTŪRA ""PUZZLE""""","KRASTA IELA 7, OGRE, OGRES NOVADS, LV-5001",26165308,seminari@puzzle.lv,Ogres novads,N,,,,,56.8159388,24.611283
"""Krāslavas pilsētas pirmsskolas izglītības iestāde """"Zvaniņš""""""",1101900583,Pašvaldība,,0,0,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Krāslavas pilsētas Dome,Krāslavas pilsētas Dome,"RĒZEKNES IELA 4, KRĀSLAVA, KRĀSLAVAS NOVADS, LV-5601",5621484,,Krāslavas novads,J,,,,,55.8974797,27.1737683
"""Kristīgā pamatskola """"Liepājas Pulss""""""",3012800406,Juridiskā vai fiziskā persona,,0,0,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Dzintra Pūķe,Dzintra Pūķe,"Krūmu 41/43, LIEPĀJA, LV-3416",3439147,,Liepāja,J,,,,,0,Didn't find exactly one placemark! (Found 2)
"""Kuldīgas pilsētas pirmsskolas izglītības iestāde """"Pienenīte""""""",1201901426,Pašvaldība,,0,0,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Kuldīgas pilsētas Dome,Kuldīgas pilsētas Dome,"DZIRNAVU IELA 9, ĪVANDE, KULDĪGA, KULDĪGAS NOVADS, LV-3301",3322545,,Kuldīgas novads,J,,,,,56.9688139,21.9615079
"""Lat.Guard"" Mācību centrs",3360800223,Juridiskā vai fiziskā persona,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,,,,,,,J,,,,,0,The geocode was successful but returned no results. This may occur if the geocode was passed a non-existent address or a latlng in a remote location.
"""Latgales profesionālās izglītības centrs""",3160800885,Komercsabiedrības struktūrvienība,IĻJA KLIMANOVS,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""Latgales profesionālās izglītības centrs""","Sabiedrība ar ierobežotu atbildību ""Latgales profesionālās izglītības centrs""","SKOLAS IELA 13 - 4, RĒZEKNE, LV-4601",27657875,lpic@inbox.lv,Rēzekne,N,,,,,0,Didn't find exactly one placemark! (Found 2)
"""Latvijas Nacionālā sporta skola""""""",3370002468,Valsts,,0,0,Profesionālās ievirzes izglītības iestāde,Sporta skola,Izglītības un zinātnes ministrija,Izglītības un zinātnes ministrija,"Augšiela 1, RĪGA, LV-1009",7294720,Inss@latnet.lv,Rīga,J,,,,,56.9537175,24.1573082
"""Latvijas Pašvaldību mācību centrs""",3360800184,Biedrība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Rīgas Dome, Valmieras pilsētas pašvaldība, Jūrmalas pilsētas Dome, Liepājas pilsētas Dome, Ventspils pilsētas Dome, Madonas novada pašvaldība, Alūksnes novada Dome, Latvijas Pašvaldību savienība, Bauskas novada pašvaldība, Jaunpils novada pašvaldība, Ogres novada Dome, Pāvilostas novada pašvaldība, Strenču novada pašvaldība, Talsu novada pašvaldība","Rīgas Dome, Jūrmalas pilsētas Dome, Liepājas pilsētas Dome, Ogres novada Dome, Ventspils pilsētas Dome, Valmieras pilsētas Dome, Pāvilostas novada Dome, Talsu novada Dome, Madonas novada Dome, Jaunpils novada Dome, Strenču novada Dome, Bauskas novada Dome, Alūksnes novada Dome, Latvijas Pašvaldību savienība","BIĶERNIEKU IELA 4, RĪGA, LV-1039",67551217,lpmc@lpmc.lv,Rīga,N,,,,,56.9721329,24.1716637
"""Latvijas poļu savienības Jelgavas nodaļas pirmsskolas izglītības iestāde """"Sloviček""""""",2801802230,Juridiskā vai fiziskā persona,,0,0,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Latvijas poļu savienības Jelgavas nodaļa,Latvijas poļu savienības Jelgavas nodaļa,"Aspazijas 19, JELGAVA, LV-3001",3030076,,Jelgava,J,,,,,56.6478904,23.6946336
"""Latvijas Treneru tālākizglītības centrs""",3360800313,Biedrība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Biedrība Latvijas Sporta federāciju padome, Latvijas Sporta pedagoģijas akadēmija, Biedrība Latvijas Olimpiskā akadēmija","Biedrība Latvijas Sporta federāciju padome, Latvijas Sporta pedagoģijas akadēmija, Biedrība Latvijas Olimpiskā akadēmija","BRĪVĪBAS GATVE 333, RĪGA, LV-1006",67556734,nils.grasis@treneruizglitiba.lv,Rīga,N,,,,,56.9854114,24.2067248
"""Lietišķās kinezioloģijas skola""",3360801028,Komercsabiedrības struktūrvienība,VALĒRIJS KUDOJARS,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""Medicīnas un izglītības centrs ""VOKS""""","Sabiedrība ar ierobežotu atbildību ""Medicīnas un izglītības centrs ""VOKS""""","KRIŠJĀŅA VALDEMĀRA IELA 118, RĪGA, LV-1013",67360760,info@voks.lv,Rīga,N,,,,,56.9756168,24.1364917
"""Ludzas rajona zinību centrs""",1560800135,Biedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Biedrība ""Ludzas rajona zinību centrs""","Biedrība ""Ludzas rajona zinību centrs""","RAIŅA IELA 16, LUDZA, LUDZAS NOVADS, LV-5701",29413335,"sandra.palma@ludza.lv, zalas@apollo.lv",Ludzas novads,N,,,,,56.5438414,27.7216809
"""LUMA mācību centrs""",3360800513,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Sabiedrība ar ierobežotu atbildību „Latvijas Uzņēmējdarbības un menedžmenta akadēmija”,Sabiedrība ar ierobežotu atbildību „Latvijas Uzņēmējdarbības un menedžmenta akadēmija”,"SALASPILS IELA 14 - 212, RĪGA, LV-1057",67261182,luma@luma.lv,Rīga,N,,,,,56.9186041,24.181257
"""Mācību - konsultatīvais centrs """"Vidzeme""""""",3360800084,Juridiskā vai fiziskā persona,,0,0,Pieaugušo neformālās izglītības iestāde,Pieaugušo izglītības iestāde,"""Apmācības, kultūras un atpūtas SIA """"Vidzeme""""""","""Apmācības, kultūras un atpūtas SIA """"Vidzeme""""""","Stabu 63, RĪGA, LV-1011",7560239,vidzeme@vidzeme.lv,Rīga,J,,,,,56.953105,24.1356203
"""Mācību centrs """"European School of Management""""""",3360800386,Juridiskā vai fiziskā persona,,0,0,Pieaugušo neformālās izglītības iestāde,Pieaugušo izglītības iestāde,"""SIA """"European School of Management""""""","""SIA """"European School of Management""""""","Skolas 41255, RĪGA, LV-1010",6331470,eurosom@hotmail.com,Rīga,J,,,,,56.95776,24.1186499
